pickup_from,deliver_to,package_id,clust,route_id,weight,return,volume,delivery_date,vehicle_id
MISTER DONUT MANGGAHAN PLANT,7--11 THE STRIP MERALCO ST1510,box0197,1,517,3,TRUE,3,5/1/2018,truck_3_1
MISTER DONUT MANGGAHAN PLANT,7-11 CARDINAL SANTOS MEDICAL CEN,box0041,1,513,3,TRUE,3,5/1/2018,truck_2_1
MISTER DONUT MANGGAHAN PLANT,7-11 GOLD LAND TOWER ST1365,box0200,1,517,1,TRUE,1,5/1/2018,truck_2_1
MISTER DONUT MANGGAHAN PLANT,7-11 MARCO POLO,box0146,1,515,3,TRUE,3,5/1/2018,truck_3_1
MISTER DONUT MANGGAHAN PLANT,7-11 MCKINLEY,box0201,1,517,5,TRUE,5,5/1/2018,truck_2_1
MISTER DONUT MANGGAHAN PLANT,7-11 SILVER CITY,box0568,1,536,2,TRUE,2,5/1/2018,truck_1_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST1341 AIC EMPIRE SAPPHIRE,box0147,1,515,3,TRUE,3,5/1/2018,truck_1_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST1342 BSA TWIN TOWERS,box0154,1,515,1,TRUE,1,5/1/2018,truck_2_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST1598 IBM PLAZA EASTWOOD,box0405,1,525,6,TRUE,6,5/1/2018,truck_2_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST166 PHILCOPY,box0038,1,513,4,TRUE,4,5/1/2018,truck_2_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST1688 SILVER CITY 2,box0567,1,536,5,TRUE,5,5/1/2018,truck_1_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST1709 CONECTICUT 2,box0198,1,517,4,TRUE,4,5/1/2018,truck_2_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST1941 SHINE RESIDENCES,box0145,1,515,1,TRUE,1,5/1/2018,truck_1_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST1971 ST. FRANCIS,box0153,1,515,2,TRUE,2,5/1/2018,truck_3_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST2129 TEKTITE TOWER,box0159,1,515,5,TRUE,5,5/1/2018,truck_3_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST2192 ORTIGAS PARK,box0150,1,515,3,TRUE,3,5/1/2018,truck_3_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST2273 ABERLANDO PLAZA,box0156,1,515,3,TRUE,3,5/1/2018,truck_3_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST237 ORIENT SQUARE,box0152,1,515,3,TRUE,3,5/1/2018,truck_3_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST285 EMERALD,box0157,1,515,3,TRUE,3,5/1/2018,truck_3_1
MISTER DONUT MANGGAHAN PLANT,7-11 ST301 ANNAPOLIS,box0199,1,517,1,TRUE,1,5/1/2018,truck_2_1
