DATE,ROUTE NO,SHOP NO,SHOP CODE,SHOP NAME,FROM,TO
1-May,11,1,100401,7-11 CAINTA,0:00:00,6:00:00
1-May,11,2,106356,7-11 ST2147 MARICK CAINTA,0:00:00,6:00:00
1-May,11,3,109493,7-11 ST2655 CAINTA MUNICIPAL,0:00:00,6:00:00
1-May,11,4,100402,7-11 ST126CAINTA PAROLA,0:00:00,6:00:00
1-May,11,5,108119,7-11 ST2363 ESTRLLA CAINTA,0:00:00,6:00:00
1-May,11,6,108594,7-11 ST2481 TAYTAY POBLACION,0:00:00,6:00:00
1-May,11,7,107047,7-11 ST1911 DON MARIANO,0:00:00,6:00:00
1-May,11,8,100867,7-11 ST1964 TIKLING TAYTAY,0:00:00,6:00:00
1-May,11,9,100823,7-11 ST1769 SM TAYTAY,0:00:00,6:00:00
1-May,11,10,100453,7-11 TAYTAY,0:00:00,6:00:00
1-May,11,11,100858,7-11 ST1698 SEA OIL TAYTAY,0:00:00,6:00:00
1-May,11,12,100829,7-11 ST1831 CPI ANGONO,0:00:00,6:00:00
1-May,11,13,100640,7-11 ST922 ANGONO MEDICS,0:00:00,6:00:00
1-May,11,14,100686,7-11 ST1242 ANGONO 4,0:00:00,6:00:00
1-May,11,15,100446,7-11 ST194 ANGONO,0:00:00,6:00:00
1-May,11,16,100590,7-11 ANGONO 2,0:00:00,6:00:00
1-May,11,17,100729,7-11 ST1130 BINANGONAN 4,0:00:00,6:00:00
1-May,11,18,112435,7-11 ST2787 BILIBIRAN BINANGONAN,0:00:00,6:00:00
1-May,11,19,100503,7-11 ST387 BINANGONAN 2,0:00:00,6:00:00
1-May,11,20,112969,7-11 ST2686 DARANGAN,0:00:00,6:00:00
1-May,11,21,100671,7-11 ST1130 BINANGONAN 3,0:00:00,6:00:00
1-May,11,22,100465,7-11 ST249 BINANGONAN,0:00:00,6:00:00
1-May,11,23,106678,7-11 ST1725 BINANGONAN TRIANGLE,0:00:00,6:00:00
1-May,11,24,112437,7-11 ST2403 CARDONA,0:00:00,6:00:00
1-May,11,25,100727,7-11 MORONG POBLACION,0:00:00,6:00:00
1-May,11,26,100615,7-11 ST784 TERESA,0:00:00,6:00:00
1-May,11,27,108179,7-11 ST2413 DALIG ANTIPOLO,0:00:00,6:00:00
1-May,11,28,108642,7-11 ST2463 MAIA ALTA,0:00:00,6:00:00
1-May,11,29,100654,7-11 ST995 PINES CITY,0:00:00,6:00:00
1-May,11,30,100824,7-11 ST1881 ANTIPOLO CIRCLE,0:00:00,6:00:00
1-May,11,31,100399,7-11 ANTIPOLO 1,0:00:00,6:00:00
1-May,11,32,109256,7-11 ST2381 MARIGMAN ANTIPOLO,0:00:00,6:00:00
1-May,11,33,100627,7-11 ST2413 ANTIPOLO 3 - DALIG,0:00:00,6:00:00
1-May,11,34,100400,7-11 ST75 ANTIPOLO CHURCH,0:00:00,6:00:00
1-May,11,35,109718,7-11 ST2678 EMPRESS ANTIPOLO,0:00:00,6:00:00
1-May,11,36,109316,7-11 ST2522 TAKTAK ANTIPOLO,0:00:00,6:00:00
1-May,13,1,108439,7-11 ST2478 81 XAVIER,0:00:00,6:00:00
1-May,13,4,100436,7-11 ST166 PHILCOPY,0:00:00,6:00:00
1-May,13,2,100731,7-11 ST1331 BDO GREENHILLS,0:00:00,6:00:00
1-May,13,3,100539,7-11 WILSON,0:00:00,6:00:00
1-May,13,5,100594,7-11 CARDINAL SANTOS MEDICAL CEN,0:00:00,6:00:00
1-May,13,6,100715,7-11 ST1325 WILSON ABAD SANTOS,0:00:00,6:00:00
1-May,13,7,108074,7-11 ST2339 P GUEVARRA 2,0:00:00,6:00:00
1-May,13,8,112965,7-11 ST2862 ARLINGTON,0:00:00,6:00:00
1-May,13,9,100638,7-11 ST855 UERM,0:00:00,6:00:00
1-May,13,10,100740,7-11 PRINCETON RESIDENCE,0:00:00,6:00:00
1-May,13,11,100794,7-11 ST1544 GILMORE,0:00:00,6:00:00
1-May,13,13,108444,7-11 ST2384 CPI KAMUNING,0:00:00,6:00:00
1-May,13,14,100477,7-11 ST281 TOMAS MORATO,0:00:00,6:00:00
1-May,13,15,100826,7-11 ST1801 SCOUT TUASON,0:00:00,6:00:00
1-May,13,12,109157,7-11 ST1636 WINLAND TOWER,0:00:00,6:00:00
1-May,13,16,100773,7-11 CPI E.ROD ST1502,0:00:00,6:00:00
