DATE,ROUTE NO,SHOP NO,ACCOUNT,SHOP CODE,SHOP NAME,ODD,PCS,PCS(31),CRATES,SERVICE TIME,LATITUDE,LONGITUDE,ADDRESS
30-May,1,1,KA,109834,7-11 ST2654 TUSCANY,0,112,55,4,,14.537802,121.052076,"Fort Bonifacio, Taguig, Metro Manila, Philippines"
30-May,1,2,KA,100556,7-11 WOODRIDGE,15,63,47,3,,14.535244,121.052188,"McKinley Park Rd, Taguig, 1630 Metro Manila, Philippines"
30-May,1,3,KA,107130,7-11 ST2110 GRAND CANAL MALL,23,110,82,4,,14.534455,121.052451,"1030 Campus Avenue, Taguig, 1630 Metro Manila, Philippines"
30-May,1,4,KA,100585,7-11 MCKINLEY 1820,23,101,75,4,,14.534829,121.049483,"McKinley Park Rd, Taguig, 1630 Metro Manila, Philippines"
30-May,1,5,KA,100501,7-11 ST365 MCKINLEY HILL,23,61,45,3,,14.535303,121.04734,"8 Upper McKinley Rd, Taguig, 1630 Metro Manila, Philippines"
30-May,1,6,KA,108469,7-11 ST2387 ONE WEST CAMPUS,23,115,86,4,,14.536013,121.045148,"Fort Bonifacio, Taguig, Metro Manila, Philippines"
30-May,1,7,KA,100507,7-11 ST419 GATE 3 TAGUIG,23,165,80,5,,14.52539,121.027261,"Western Bicutan, Taguig, Metro Manila, Philippines"
30-May,1,8,KA,100533,711 ECO PLAZA,15,121,59,4,,14.533478,121.022827,"2285 Chino Roces Ave, Makati, 1200 Metro Manila, Philippines"
30-May,1,9,KA,100449,7-11 ST204 PRISCILLA,15,63,47,3,,14.534687,121.022069,"RCS Prime, 2397 Chino Roces Ave, Magallanes, Makati, 1232 Metro Manila, Philippines"
30-May,1,10,KA,101251,7-11 NEW PORT,23,79,38,3,,14.524044,121.012566,"Newport Blvd, Pasay, Metro Manila, Philippines"
30-May,1,11,KA,101280,7-11 ST834 REMINGTON HOTEL,15,89,66,4,,14.518083,121.019684,"Pasay, Metro Manila, Philippines"
30-May,1,12,KA,101284,7-11 ST909 PLAZA 66,23,54,24,2,,14.52438,121.013299,"Newport Carabao Statue, Pasay, Metro Manila, Philippines"
30-May,1,13,KA,101237,7-11 ST375 VILLAMOR,14,177,86,4,,14.525422,121.011714,"Pasay, Metro Manila, Philippines"
30-May,1,14,KA,112434,7-11 ST2763 VILLAMOR 2,15,144,70,4,,14.527145,121.009955,"Pasay, Metro Manila, Philippines"
30-May,1,27,KA,101216,7-11 ST216 BACLARAN 2,15,168,81,5,,14.530393,120.996899,"Baclaran, Parañaque, Metro Manila, Philippines"
30-May,1,31,KA,101229,7-11 ST352 BACLARAN 4,15,131,64,6,,14.529046,120.993833,"Baclaran, Parañaque, Metro Manila, Philippines"
30-May,1,32,KA,101217,7-11 ST221 BACLARAN 3,15,111,54,3,,14.53301,120.993492,"Baclaran, Parañaque, Metro Manila, Philippines"
30-May,1,33,KA,101325,7-11 REPHIL PASAY ST1465,15,81,39,3,,14.537504,120.996304,"75, Pasay, Metro Manila, Philippines"
30-May,1,34,KA,113121,7-11 GAM PARKLANE,15,172,83,4,,14.537371,120.998986,"230 C-4, Pasay, Metro Manila, Philippines"
30-May,1,35,KA,101222,7-11 ST297 DFA,15,95,46,3,,14.545587,120.991643,"Antonio Arnaiz Avenue, Pasay, Metro Manila, Philippines"
30-May,1,36,KA,101208,7-11 ST3 LIBERTAD,15,160,78,5,,14.546222,120.993917,"2360 F.B. Harrison St, Pasay, Metro Manila, Philippines"
30-May,1,37,KA,101293,7-11 ST1096 LIBERTAD AURORA,15,164,80,5,,14.548325,121.003905,"Pasay, Metro Manila, Philippines"
30-May,1,38,KA,108470,7-11 ST2367 BURGOS 2,15,60,29,3,,14.549728,121.000434,"60, Pasay, Metro Manila, Philippines"
30-May,1,39,KA,101210,7-11 P. BURGOS,15,226,109,5,,14.548097,121.000588,"59, Pasay, Metro Manila, Philippines"
30-May,2,1,KA,109880,7-11 ST2681 EDSA ORTIGAS,15,163,95,5,,14.592156,121.057795,"Wack-Wack Greenhills, Mandaluyong, Metro Manila, Philippines"
30-May,2,2,KA,101204,7-11 ST90 BANGKAL MAKATI,18,64,46,3,,14.539591,121.012382,"Bangkal, Makati, Metro Manila, Philippines"
30-May,2,3,KA,101332,7-11 ST1646 CPI TAFT,22,71,34,3,,14.540592,121.00045,"97, Pasay, Metro Manila, Philippines"
30-May,2,4,KA,112436,7-11 ST2687 IMET,15,64,31,3,,14.540787,120.991533,"Barangay 76, Pasay, Metro Manila, Philippines"
30-May,2,5,KA,101344,7-11 ST1613 FERRY TERMINAL,15,163,79,5,,14.541547,120.980188,"Esplanade Seaside Terminal, Seaside Blvd, Pasay, Metro Manila, Philippines"
30-May,2,6,KA,101282,7-11 ST749 2 E-COM,15,68,50,4,,14.539638,120.981022,"Ocean Dr, Pasay, Metro Manila, Philippines"
30-May,2,7,KA,101238,7-11 ST384 ONE ECOM,23,109,81,4,,14.538506,120.981711,"Harbor Drive Side Entrance to One E-com, Harbor Dr, Pasay, Metro Manila, Philippines"
30-May,2,8,KA,113051,7-11 CONVERGYS MOA,23,132,64,3,,14.539502,120.982298,"Harbor Dr, Pasay, Metro Manila, Philippines"
30-May,2,9,KA,109201,7-11 ST2487 OWWA PASAY,15,59,29,3,,14.55185,120.992296,"11, Pasay, Metro Manila, Philippines"
30-May,2,10,KA,101205,7-11 ST17 BUENDIA,15,59,29,3,,14.553985,120.997911,"49, Pasay, Metro Manila, Philippines"
30-May,2,11,KA,113321,7-11 ST2706 SEASCAPE,15,151,73,8,,14.55134,120.981472,"1, Pasay, Metro Manila, Philippines"
30-May,2,12,KA,101347,7-11 STAR CITY ST1840,15,88,43,3,,14.556922,120.985547,"Vicente Sotto St, Pasay, Metro Manila, Philippines"
30-May,2,13,KA,113369,7-11 ST2889 ROXAS BLVD. - VITO CRUZ,15,97,47,3,,14.55861,120.987987,"Hotel Jen, Pasay, Metro Manila, Philippines"
30-May,2,13,KA,101207,7-11 FB HARRISON,15,76,37,3,,14.560043,120.989714,"Brgy. 719, Malate, Manila, Metro Manila, Philippines"
30-May,2,14,KA,101230,7-11 ST355 VITO CRUZ,15,145,70,4,,14.561142,120.993281,"Brgy. 719, Malate, Manila, Metro Manila, Philippines"
30-May,2,15,KA,101239,7-11 ST404 PACIFIC REGENCY,15,134,65,4,,14.561409,120.994258,"760 Saygan, Malate, Maynila, 1004 Kalakhang Maynila, Philippines"
30-May,2,16,KA,101224,7-11 ST322 ST. SCHOLASTICA,15,61,30,3,,14.563013,120.996219,"2647 Dominga Street, Malate, Manila, 1004 Metro Manila, Philippines"
30-May,2,17,KA,101260,7-11 ANGELO KING,15,94,46,3,,14.567055,120.997831,"Brgy. 746, San Andres, Manila, Metro Manila, Philippines"
30-May,2,18,KA,109870,7-11 ST2624 HEROES HOTEL MANILA,15,50,24,2,,14.569094,121.001049,"Brgy. 749, San Andres, Manila, Metro Manila, Philippines"
30-May,2,19,KA,101299,7-11 ST1043 NEW YORK RESIDENCE,15,110,53,4,,14.564922,120.995271,"2457-C Leon Guinto St., Malate, Manila, Leon Guinto St, Malate, Manila, 1004 Metro Manila, Philippines"
30-May,2,20,KA,106643,7-11 ST2077 D-UNIVERSITY,15,46,23,2,,14.565393,120.994687,"2431 Leon Guinto St, Malate, Manila, 1004 Metro Manila, Philippines"
30-May,2,21,KA,101272,7-11 MANILA RESIDENCES,15,45,22,2,,14.566473,120.993551,"Brgy. 725, Malate, Manila, 1004 Metro Manila, Philippines"
30-May,2,22,KA,101355,7-11 ST1789 MANILA RESIDENCE 2,15,48,23,2,,14.566736,120.99344,"Brgy. 725, Malate, Manila, 1004 Metro Manila, Philippines"
30-May,2,23,KA,101268,7-11 ONE ARCHERS PLACE,15,53,26,2,,14.566752,120.993024,"2311 Castro, Malate, Manila, 1004 Metro Manila, Philippines"
30-May,2,24,KA,101350,7-11 ST1975 LA SALLE 4,15,65,32,2,,14.566846,120.992173,"2305 Fidel A.Reyes, Malate, Manila, 1004 Metro Manila, Philippines"
30-May,2,25,KA,101346,7-11 ST1726 LA SALLE 3,15,55,27,2,,14.563135,120.994631,"2507 Taft Ave, Malate, Manila, 1004 Metro Manila, Philippines"
30-May,2,26,KA,101320,7-11 MANILA SANITARIUM,15,104,51,4,,14.555715,120.996264,"36, Pasay, Metro Manila, Philippines"
30-May,2,27,KA,100576,7-11 MAKATI EXECUTIVE 3,15,42,20,2,,14.557942,121.008589,"2116 Sen Gil Puyat, Makati, 1230 Metro Manila, Philippines"
30-May,2,28,KA,100815,7-11 BUENDIA #6 ST1415,15,46,22,2,,14.559897,121.012224,"Chino Roces Avenue, Makati, Metro Manila, Philippines"
30-May,2,29,KA,109155,7-11 ST2567 P OCAMPO,15,49,24,2,,14.566539,121.01374,"Makati BLISS, Davila, Makati, Metro Manila, Philippines"
30-May,2,30,KA,100554,7-11 KINGSWOOD,15,38,19,3,,14.566859,121.012437,"La Paz, Makati, Metro Manila, Philippines"
30-May,2,31,KA,113006,7-11 SAN ANTONIO VILLAGE 2 ST2866,15,97,47,3,,14.564944,121.008722,"San Antonio, Makati, Metro Manila, Philippines"
30-May,2,32,KA,100422,7-11 ST155 ONYX,15,228,111,5,,14.573669,121.003605,"Brgy. 804, San Andres, Manila, Metro Manila, Philippines"
30-May,2,33,KA,106454,7-11 ST1836 A. FRANCISCO,15,99,45,4,,14.576807,121.00654,"Brgy. 791, San Andres, Manila, Metro Manila, Philippines"
30-May,2,34,KA,113403,7-11 ST2861 PALM BEACH,14,196,70,5,,14.539829,120.989835,Unit 1-2 Palm Beach Villas  Metrobank Ave.  Parañaque City
30-May,3,1,KA,100648,7-11 CULIAT,11,207,67,5,,14.667883,121.056277,"Culiat, Quezon City, Metro Manila, Philippines"
30-May,3,8,KA,100713,7-11 SANGANDAAN,10,97,47,3,,14.680011,121.018218,"MMMM Building, 373 Tandang Sora Ave, Novaliches, Quezon City, Metro Manila, Philippines"
30-May,3,9,KA,100631,7-11 ST779 STA QUITERIA,15,101,49,4,,14.68116,121.009915,"Caloocan, Metro Manila, Philippines"
30-May,3,10,KA,100744,7-11 ST1292 UGONG VALENZUELA,15,188,91,5,,14.68799,121.001344,"SQTODA - Tulay Terminal, Gen. T. de Leon, Valenzuela, Metro Manila, Philippines"
30-May,3,11,KA,100515,7-11 ST462 GEN T DE LEON,15,146,71,4,,14.686499,120.994773,"Gen. T. De Leon, Valenzuela, Metro Manila, Philippines"
30-May,3,12,KA,100764,7-11 LOREX AVE. ST1466,15,130,63,4,,14.684352,120.987291,"Gen. T. De Leon, Valenzuela, Metro Manila, Philippines"
30-May,3,13,KA,100797,7-11 ST1657 FATIMA ANNEX,15,90,44,3,,14.681479,120.980021,"2 Fatima Ave, Valenzuela, Metro Manila, Philippines"
30-May,3,14,KA,100434,7-11 ST106 TAMARAW HILLS,15,218,106,6,,14.678644,120.980016,"Marulas, Valenzuela, Metro Manila, Philippines"
30-May,3,15,KA,100763,7-11 FATIMA 2 ST1446,15,120,59,4,,14.676978,120.98066,"Marulas, Valenzuela, Metro Manila, Philippines"
30-May,3,16,KA,109200,7-11 ST2351 SAN MIGUEL HEIGTHS,15,139,67,4,,14.676481,120.990524,"Marulas, Valenzuela, Metro Manila, Philippines"
30-May,3,17,KA,107046,7-11 ST2073 MARULAS 2,15,166,80,4,,14.675061,120.984143,"Marulas, Valenzuela, Metro Manila, Philippines"
30-May,3,18,KA,100432,7-11 ST41 MARULAS,15,173,84,5,,14.673666,120.981945,"Marulas, Valenzuela, Metro Manila, Philippines"
